TF	TF_uniprot	Target	Target_uniprot	Mode of Regulation	References (PMID)
NFKB1	P19838	VEGFA	P15692	Activation	15856023;16684540;17407600;18056465
NFKB1	P19838	VEGFA	P15692	Repression	15517885
NFKB1	P19838	VEGFA	P15692	Unknown	12160329;17673602;18184402;20103608;20538607
NFKB1	P19838	VWF	P04275	Unknown	10848823
NFKB1	P19838	WT1	P19544	Unknown	11243407
NFKB1	P19838	XIAP	P98170	Activation	15041463;15756023;16157589;18223231
NFKB1	P19838	XIAP	P98170	Repression	18566231;18761050
NFKB1	P19838	XIAP	P98170	Unknown	14739605;16453001;18978816
NFKB1	P19838	YY1	P25490	Repression	16784892
NFKB1	P19838	YY1	P25490	Unknown	17438126
NFKB2	Q00653	CCL21	O00585	Activation	20953353
NFKB2	Q00653	CCND2	P30279	Activation	18504428
NFKB2	Q00653	CDK6	Q00534	Activation	18504428
NFKB2	Q00653	HIF1A	Q16665	Repression	19414801
NFKB2	Q00653	SELP	P16109	Activation	7559449
NFKB2	Q00653	SND1	Q7KZF4	Activation	20363924
NFKBIA	P25963	CCL5	P13501	Repression	15228586
NFKBIA	P25963	CD40	P25942	Repression	9733827
NFKBIA	P25963	CD58	P19256	Repression	9733827
NFKBIA	P25963	CXCL8	P10145	Unknown	12296854
NFKBIA	P25963	EBI3	Q14213	Repression	9733827
NFKBIA	P25963	FAS	P25445	Repression	9733827
NFKBIA	P25963	ICAM1	P05362	Repression	12490396;9733827;9990039
NFKBIA	P25963	IFNB1	P01574	Repression	10074115
NFKBIA	P25963	IL1B	P01584	Repression	15228586
NFKBIA	P25963	MMP1	P03956	Unknown	11376631
NFKBIA	P25963	MMP3	P08254	Unknown	11376631
NFKBIA	P25963	MMP9	P14780	Unknown	11376631
NFKBIA	P25963	NFKB1	P19838	Activation	9500973
NFKBIA	P25963	NFKB1	P19838	Repression	11278471;18606063;20173029
NFKBIA	P25963	NFKB1	P19838	Unknown	15713458;17148610
NFKBIA	P25963	NOS2	P35228	Repression	17478759
NFKBIA	P25963	PON2	Q15165	Activation	19401157
NFKBIA	P25963	RELA	Q04206	Activation	9500973
NFKBIA	P25963	RELA	Q04206	Repression	11278471;18606063;20173029
NFKBIA	P25963	RELA	Q04206	Unknown	15713458;17148610
NFKBIA	P25963	S100A6	P06703	Repression	12859951
NFKBIA	P25963	TNFSF10	P50591	Repression	11544302
NFKBIA	P25963	TRAF1	Q13077	Repression	9733827
NFKBIB	Q15653	IFNB1	P01574	Repression	10074115
NFKBIZ	Q9BYH8	DEFB4A	O15263	Unknown	18362142
NFRKB	Q6P4R8	JUN	P05412	Activation	22291976
NFYA	P23511	ABCB1	P08183	Unknown	18234965;22154511
NFYA	P23511	CBS	P35520	Activation	12427542
NFYA	P23511	CCND2	P30279	Activation	9339900
NFYA	P23511	CDKN1B	P46527	Activation	15064717
NFYA	P23511	CYP2A6	P11509	Activation	15247629
NFYA	P23511	DDIT3	P35638	Unknown	20023394
NFYA	P23511	FAS	P25445	Unknown	9261184
NFYA	P23511	FXR2	P51116	Activation	16886907
NFYA	P23511	GADD45A	P24522	Activation	11525640
NFYA	P23511	GADD45A	P24522	Unknown	11420680
NFYA	P23511	GFI1B	Q5VTD9	Unknown	19965638
NFYA	P23511	HBB	P68871	Unknown	15833715
NFYA	P23511	HOXB4	P17483	Activation	12791656
NFYA	P23511	HOXB7	P09629	Unknown	12697323
NFYA	P23511	HSPA5	P11021	Unknown	22530004
NFYA	P23511	LPIN1	Q14693	Unknown	19553673
NFYA	P23511	OGG1	O15527	Activation	14688259
NFYA	P23511	OGG1	O15527	Unknown	17989114
NFYA	P23511	SOX18	P35713	Activation	18496767
NFYA	P23511	SOX3	P41225	Unknown	15656994;19799567
NFYA	P23511	SP3	Q02447	Activation	16024108
NFYA	P23511	STK11	Q15831	Unknown	22412893
NFYB	P25208	ABCB1	P08183	Unknown	18234965
NFYB	P25208	CCND2	P30279	Activation	9339900
NFYB	P25208	CDKN1B	P46527	Activation	15064717
NFYB	P25208	FAS	P25445	Unknown	9261184
NFYB	P25208	FOS	P01100	Unknown	23595228
NFYB	P25208	FXR2	P51116	Activation	16886907
NFYB	P25208	GFI1B	Q5VTD9	Unknown	19965638
NFYB	P25208	HBB	P68871	Unknown	15833715
NFYB	P25208	HOXB7	P09629	Unknown	12697323
NFYB	P25208	LPIN1	Q14693	Unknown	19553673
NFYB	P25208	SOX18	P35713	Activation	18496767
NFYB	P25208	SOX3	P41225	Unknown	19799567
NFYB	P25208	STK11	Q15831	Unknown	22412893
NFYB	P25208	TPH1	P17752	Activation	9645961
NFYC	Q13952	ABCB1	P08183	Unknown	18234965
NFYC	Q13952	CCND2	P30279	Activation	9339900
NFYC	Q13952	CDKN1B	P46527	Activation	15064717
NFYC	Q13952	FAS	P25445	Unknown	9261184
NFYC	Q13952	FDPS	P14324	Unknown	20450493
NFYC	Q13952	FOS	P01100	Unknown	23595228
NFYC	Q13952	FXR2	P51116	Activation	16886907
NFYC	Q13952	GFI1B	Q5VTD9	Unknown	19965638
NFYC	Q13952	HBB	P68871	Unknown	15833715
NFYC	Q13952	HOXB7	P09629	Unknown	12697323
NFYC	Q13952	LPIN1	Q14693	Unknown	19553673
NFYC	Q13952	SOX18	P35713	Activation	18496767
NFYC	Q13952	SOX3	P41225	Unknown	19799567
NHLH2	Q02577	ASCL1	P50553	Activation	21573214
NHLH2	Q02577	ASCL1	P50553	Repression	21573214
NHLH2	Q02577	HES1	Q14469	Repression	21573214
NHLH2	Q02577	MAOA	P21397	Activation	22169038
NKX2-1	P43699	LMO3	Q8TAP4	Unknown	23322301
NKX2-1	P43699	RET	P07949	Repression	19853745
NKX2-1	P43699	SFTPA1	Q8IWL2	Unknown	12040027
NKX2-1	P43699	SFTPB	P07988	Activation	12161428;18003659;8065304
NKX2-1	P43699	SFTPB	P07988	Unknown	11274148
NKX2-1	P43699	SP1	P08047	Unknown	23995788
NKX2-1	P43699	STK11	Q15831	Repression	23995788
NKX2-2	O95096	NPPA	P01160	Activation	14573514
NKX2-3	Q8TAU0	EGR1	P18146	Unknown	21968973
NKX2-5	P52952	CTNNB1	P35222	Unknown	19479054
NKX2-5	P52952	DACT1	Q9NYF0	Repression	19479054
NKX2-5	P52952	DACT2	Q5SW24	Repression	19479054
NKX2-5	P52952	DACT3	Q96B18	Repression	19479054
NKX2-5	P52952	GATA4	P43694	Activation	19479054
NKX2-5	P52952	LYL1	P12980	Unknown	19608273
NKX2-5	P52952	MEF2C	Q06413	Repression	21261500
NKX2-5	P52952	NPPB	P16860	Unknown	15837525
NKX2-5	P52952	TBX5	Q99593	Unknown	15095414
NKX3-1	Q99801	ACTG2	P63267	Activation	19797053
NKX3-1	Q99801	AR	P10275	Repression	16697957
NKX3-1	Q99801	CCND1	P24385	Repression	22179513
NKX3-1	Q99801	ESR1	P03372	Unknown	18794125
NKX3-1	Q99801	FOS	P01100	Repression	22179513
NKX3-1	Q99801	IGF1R	P08069	Repression	22179513
NKX3-1	Q99801	KLK3	P07288	Unknown	17483333
NKX3-1	Q99801	SIX6	O95475	Unknown	22848398
NKX3-1	Q99801	TMPRSS2	O15393	Unknown	24418414
NKX3-1	Q99801	VEGFA	P15692	Unknown	18974119
NONO	Q15233	MIA	Q16674	Unknown	23672612;24349210
NOTCH3	Q9UM47	APOD	P05090	Repression	21705670
NOTCH3	Q9UM47	ASPH	Q12797	Unknown	21504125
NOTCH3	Q9UM47	HES1	Q14469	Repression	22117196
NPAS2	Q99743	CRY1	Q16526	Unknown	17660446
NPAS2	Q99743	CRY2	Q49AN0	Unknown	17660446
NPAS2	Q99743	PER1	O15534	Unknown	17660446
NPAS2	Q99743	PER2	O15055	Unknown	17660446
NPAS3	Q8IXF0	VGF	O15240	Unknown	21709683
NPM1	P06748	ATF5	Q9Y2D1	Repression	22528486
NPM1	P06748	BRD4	O60885	Unknown	24220271
NPM1	P06748	CCND1	P24385	Unknown	18625744
NPM1	P06748	CDKN1A	P38936	Activation	19221506
NPM1	P06748	DNMT1	P26358	Unknown	19887607
NPM1	P06748	ELF4	Q99607	Unknown	23393136
NPM1	P06748	MDM2	Q00987	Repression	23393136
NPM1	P06748	PTPN6	P29350	Activation	16825495
NPM1	P06748	RPL3	P39023	Unknown	21705779
NPM1	P06748	TAF1A	Q15573	Activation	17069796
NPM1	P06748	USP7	Q93009	Unknown	23183427
NR0B1	P51843	AMH	P03971	Repression	11990799
NR0B1	P51843	CAMP	P49913	Repression	12213901
NR0B1	P51843	CYP17A1	P05093	Repression	11592817
NR0B1	P51843	CYP19A1	P11511	Repression	12213901;22427816
NR0B1	P51843	ESRRG	P62508	Repression	16314306
NR0B1	P51843	NOS1	P29475	Activation	19726747
NR0B1	P51843	NR1H4	Q96RI1	Repression	21856289
NR0B1	P51843	NR5A1	Q13285	Repression	11990799
NR0B1	P51843	PBX1	P40424	Activation	18984668
NR0B1	P51843	STAR	P49675	Repression	22427816
NR0B2	Q15466	APOC3	P02656	Unknown	20516075
NR0B2	Q15466	CYP27A1	Q02318	Unknown	15581596
NR0B2	Q15466	CYP7A1	P22680	Unknown	15358835;15581596
NR0B2	Q15466	CYP8B1	Q9UNU6	Unknown	15581596
NR0B2	Q15466	E2F1	Q01094	Repression	18657049
NR0B2	Q15466	G6PC	P35575	Unknown	15358835
NR0B2	Q15466	PCK2	Q16822	Repression	17094771
NR0B2	Q15466	PCK2	Q16822	Unknown	15358835
NR0B2	Q15466	PTGS2	P35354	Activation	21613300
NR1D1	P20393	ARNTL	O00327	Repression	21881539
NR1H2	P55055	ABCA1	O95477	Activation	16141411
NR1H2	P55055	ABCG1	P45844	Activation	16141411
NR1H2	P55055	ABCG4	Q9H172	Activation	16141411
NR1H3	Q13133	ABCA1	O95477	Activation	11264984;16141411;18580406;19201410
NR1H3	Q13133	ABCA1	O95477	Unknown	15171719
NR1H3	Q13133	ABCG1	P45844	Activation	16141411;18580406
NR1H3	Q13133	ABCG4	Q9H172	Activation	16141411
NR1H3	Q13133	BHLHE40	O14503	Activation	19032342
NR1H3	Q13133	CETP	P11597	Unknown	18562803
NR1H4	Q96RI1	ABCB11	O95342	Unknown	11387316
NR1H4	Q96RI1	ABCB4	P21439	Activation	14527955
NR1H4	Q96RI1	ABCC4	O15439	Repression	22291955
NR1H4	Q96RI1	CYP7A1	P22680	Repression	17135343
NR1H4	Q96RI1	DCN	P07585	Activation	18514055
NR1H4	Q96RI1	EDN1	P05305	Repression	16357303
NR1H4	Q96RI1	FABP6	P51161	Activation	10514450
NR1H4	Q96RI1	HSD3B2	P26439	Unknown	19059462
NR1H4	Q96RI1	INS	P01308	Activation	20060466
NR1H4	Q96RI1	KLF11	O14901	Unknown	20060466
NR1H4	Q96RI1	KRT13	P13646	Activation	21619550
NR1H4	Q96RI1	NFKB1	P19838	Activation	21364590
NR1H4	Q96RI1	NR1I2	O75469	Activation	21476904
NR1H4	Q96RI1	PLTP	P55058	Unknown	10998425
NR1H4	Q96RI1	RELA	Q04206	Activation	21364590
NR1H4	Q96RI1	SCARB1	Q8WTV0	Activation	20956002
NR1H4	Q96RI1	SLCO1B3	Q9NPD5	Unknown	16741617
NR1H4	Q96RI1	STK11	Q15831	Activation	22265968
NR1H4	Q96RI1	UGT2B4	P06133	Repression	12806625
NR1H4	Q96RI1	VEGFA	P15692	Activation	21364590
NR1I2	O75469	ABCB1	P08183	Activation	18540626
NR1I2	O75469	BCL2	P10415	Activation	16085054
NR1I2	O75469	BCL2L1	Q07817	Activation	16085054
NR1I2	O75469	CCL2	P13500	Repression	22248096
NR1I2	O75469	CORO1C	Q9ULV4	Activation	21072196
NR1I2	O75469	CYP2B6	P20813	Unknown	18096673;19928584
NR1I2	O75469	CYP2C8	P10632	Unknown	18096673
NR1I2	O75469	CYP2C9	P11712	Unknown	16749864;18096673;21292004
NR1I2	O75469	CYP3A4	P08684	Activation	12601364;15269186;18540626;19232333;21342487
NR1I2	O75469	CYP3A4	P08684	Unknown	11991950;12606758;15100175;15650019;16608838;18096673;20171174;21292004;21920351;23807564
NR1I2	O75469	CYP4F12	Q9HCS2	Unknown	19129222
NR1I2	O75469	FGF19	O95750	Activation	17696253
NR1I2	O75469	FOSL1	P15407	Activation	21072196
NR1I2	O75469	HP	P00738	Unknown	19723538
NR1I2	O75469	IL10	P22301	Activation	22285937
NR1I2	O75469	KLF6	Q99612	Activation	21072196
NR1I2	O75469	NFKB1	P19838	Repression	22248096
NR1I2	O75469	NOD1	Q9Y239	Repression	14688115
NR1I2	O75469	NOD2	Q9HC29	Repression	14688115
NR1I2	O75469	PTAFR	P25105	Activation	19703903
NR1I2	O75469	RAB3A	P20336	Activation	21072196
NR1I2	O75469	RELA	Q04206	Repression	22248096
NR1I2	O75469	RXRA	P19793	Unknown	21295138
NR1I2	O75469	THBS1	P07996	Activation	21072196
NR1I2	O75469	THRSP	Q92748	Activation	19437491
NR1I2	O75469	TNFRSF12A	Q9NP84	Activation	21072196
NR1I2	O75469	UGT1A1	P22309	Activation	18172616
NR1I3	Q14994	CYP2B6	P20813	Activation	19702527
NR1I3	Q14994	CYP2B6	P20813	Unknown	19928584
NR1I3	Q14994	CYP2C9	P11712	Unknown	15919766;16749864
NR1I3	Q14994	UGT1A1	P22309	Activation	18172616
NR1I3	Q14994	UGT1A1	P22309	Unknown	11343253
NR2C2	P49116	LHCGR	P22888	Activation	11682620
NR2C2	P49116	OXT	P01178	Unknown	17054912
NR2E3	Q9Y5X4	ESR1	P03372	Unknown	22174013
NR2E3	Q9Y5X4	RHO	P08100	Activation	19898638
NR2F1	P10589	APOA2	P02652	Unknown	1639815
NR2F1	P10589	APOB	P04114	Unknown	1639815
NR2F1	P10589	APOC3	P02656	Unknown	1639815
NR2F1	P10589	CYP17A1	P05093	Repression	11592817
NR2F1	P10589	CYP19A1	P11511	Unknown	11973645
NR2F1	P10589	DR1	Q01658	Repression	22357705
NR2F1	P10589	LHCGR	P22888	Repression	11682620
NR2F1	P10589	MTTP	P55157	Repression	22357705
NR2F1	P10589	SERPINC1	P01008	Repression	8910619
NR2F2	P24468	E2F1	Q01094	Unknown	22734039
NR2F2	P24468	HEY1	Q9Y5J3	Unknown	23345397
NR2F2	P24468	HEY2	Q9UBP5	Unknown	23345397
NR2F2	P24468	NTS	P30990	Unknown	21030593
NR2F2	P24468	POU5F1	Q01860	Repression	23136034
NR2F2	P24468	PPARA	Q07869	Unknown	11981036
NR2F2	P24468	TFAP2A	P05549	Activation	20195529
NR2F6	P10588	APOA2	P02652	Unknown	1639815
NR2F6	P10588	APOB	P04114	Unknown	1639815
NR2F6	P10588	APOC3	P02656	Unknown	1639815
NR2F6	P10588	CYP19A1	P11511	Unknown	11973645
NR2F6	P10588	LHCGR	P22888	Repression	11682620
NR3C1	P04150	ATF2	P15336	Repression	17016446
NR3C1	P04150	ATP1B1	P05026	Repression	9694812
NR3C1	P04150	ATP1B1	P05026	Unknown	11216640
NR3C1	P04150	BAD	Q92934	Activation	17496926
NR3C1	P04150	BAX	Q07812	Activation	17496926
NR3C1	P04150	BGLAP	P02818	Repression	9303434
NR3C1	P04150	BRCA1	P38398	Activation	22328717
NR3C1	P04150	CALD1	Q05682	Activation	18772142
NR3C1	P04150	CCND1	P24385	Unknown	18097517
NR3C1	P04150	CCND3	P30281	Repression	9154817
NR3C1	P04150	CDK4	P11802	Repression	9154817
NR3C1	P04150	CDK6	Q00534	Repression	9154817
NR3C1	P04150	CDKN1A	P38936	Activation	17989362
NR3C1	P04150	COX1	P00395	Unknown	19570036
NR3C1	P04150	CSF1R	P07333	Unknown	11891846
NR3C1	P04150	CYP19A1	P11511	Activation	16740737
NR3C1	P04150	ELK1	P19419	Repression	17016446
NR3C1	P04150	ETS1	P14921	Repression	17016446
NR3C1	P04150	HRH1	P35367	Unknown	24535227
NR3C1	P04150	HSD11B2	P80365	Unknown	17551100
NR3C1	P04150	MAOA	P21397	Unknown	16728402
NR3C1	P04150	MUC4	Q99102	Unknown	11418607
NR3C1	P04150	NFKB1	P19838	Repression	17016446
NR3C1	P04150	NR1I2	O75469	Unknown	12815172
NR3C1	P04150	NR3C1	P04150	Unknown	22516378
NR3C1	P04150	PNRC1	Q12796	Unknown	10894149
NR3C1	P04150	PPIG	Q13427	Unknown	20482443
NR3C1	P04150	RLN1	P04808	Unknown	15149733
NR3C1	P04150	RLN2	P04090	Unknown	15149733
NR3C1	P04150	RPS6KA3	P51812	Activation	11705993
NR3C1	P04150	S100P	P25815	Unknown	21751241
NR3C1	P04150	SCNN1A	P37088	Unknown	10212217
NR3C1	P04150	SLC10A2	Q12908	Unknown	14684580
NR3C1	P04150	SPP1	P10451	Unknown	11126367
NR3C1	P04150	SRF	P11831	Repression	17016446
NR3C1	P04150	STAT1	P42224	Repression	17016446
NR3C1	P04150	TAT	P17735	Unknown	12815172
NR3C1	P04150	TP53	P04637	Repression	17016446
NR3C1	P04150	UGT1A1	P22309	Activation	18172616
NR3C1	P04150	UGT1A1	P22309	Unknown	15557560
NR3C2	P08235	ATP1B1	P05026	Repression	9694812
NR3C2	P08235	ATP1B1	P05026	Unknown	11216640
NR3C2	P08235	CABIN1	Q9Y6J0	Repression	22345406
NR3C2	P08235	CCR5	P51681	Activation	11751947
NR3C2	P08235	CCR6	P51684	Activation	11751947
NR3C2	P08235	CD40	P25942	Activation	16179010
NR3C2	P08235	EGFR	P00533	Activation	17692454
NR3C2	P08235	LCN2	P80188	Unknown	22469622
NR4A1	P22736	BABAM2	Q9NXR7	Repression	22159226
NR4A1	P22736	CCNA2	P20248	Repression	12842839
NR4A1	P22736	CDKN1B	P46527	Activation	12842839
NR4A1	P22736	CYP11A1	P05108	Unknown	20083153
NR4A1	P22736	CYP17A1	P05093	Unknown	20083153
NR4A1	P22736	E2F1	Q01094	Activation	12947120
NR4A1	P22736	FASLG	P48023	Unknown	14563113
NR4A1	P22736	HSD3B2	P26439	Activation	15666793
NR4A1	P22736	HSD3B2	P26439	Unknown	15208301;20083153;23874725
NR4A1	P22736	MDM2	Q00987	Repression	17139261
NR4A1	P22736	MMP2	P08253	Activation	22551568
NR4A1	P22736	RNF7	Q9UBF6	Repression	22159226
NR4A1	P22736	SERPINE1	P05121	Unknown	12506026
NR4A1	P22736	STAR	P49675	Unknown	20083153
NR4A1	P22736	TIMP2	P16035	Activation	22551568
NR4A1	P22736	TNF	P01375	Repression	19213954
NR4A2	P43354	APOM	O95445	Unknown	17977826
NR4A2	P43354	CRH	P06850	Unknown	11315917
NR4A2	P43354	CXCL8	P10145	Unknown	19732956
NR4A2	P43354	MMP1	P03956	Repression	17283078
NR4A2	P43354	SLC6A3	Q01959	Unknown	19494806
NR4A3	Q92570	PPARG	P37231	Repression	18855877
NR5A1	Q13285	AMH	P03971	Activation	21220346
NR5A1	Q13285	AMH	P03971	Unknown	10446911;9774680
NR5A1	Q13285	CITED2	Q99967	Activation	18984668
NR5A1	Q13285	CYP11A1	P05108	Unknown	11057754;23530236
NR5A1	Q13285	CYP11B1	P15538	Unknown	11014212
NR5A1	Q13285	CYP11B2	P19099	Repression	21169726
NR5A1	Q13285	CYP17A1	P05093	Activation	17786540
NR5A1	Q13285	CYP17A1	P05093	Unknown	17664281;21467194;23530236
NR5A1	Q13285	CYP19A1	P11511	Activation	12213901;21087664
NR5A1	Q13285	CYP19A1	P11511	Repression	22427816
NR5A1	Q13285	CYP2B6	P20813	Unknown	7789992
NR5A1	Q13285	FSHR	P23945	Unknown	11328853
NR5A1	Q13285	HSD3B1	P14060	Unknown	23530236
NR5A1	Q13285	HSD3B2	P26439	Activation	19022561
NR5A1	Q13285	INSL3	P51460	Unknown	23530236
NR5A1	Q13285	LHB	P01229	Activation	10319325
NR5A1	Q13285	MC2R	Q01718	Activation	20650879
NR5A1	Q13285	MC2R	Q01718	Unknown	10811295
NR5A1	Q13285	NOV	P48745	Repression	17566092
NR5A1	Q13285	NR0B1	P51843	Activation	11990799
NR5A1	Q13285	NR0B1	P51843	Unknown	7677767
NR5A1	Q13285	PBX1	P40424	Activation	18984668
NR5A1	Q13285	PNRC1	Q12796	Unknown	10894149
NR5A1	Q13285	POU5F1	Q01860	Unknown	17226773
NR5A1	Q13285	SRY	Q05066	Activation	11207191
NR5A1	Q13285	STAR	P49675	Activation	19022561
NR5A1	Q13285	STAR	P49675	Repression	22427816
NR5A1	Q13285	STAR	P49675	Unknown	10919277;11111087;15129808;16439455;23530236
NR5A1	Q13285	STARD7	Q9NQZ5	Activation	21622533
NR5A2	O00482	ABCB11	O95342	Unknown	18270374
NR5A2	O00482	ABCG5	Q9H222	Activation	15121760
NR5A2	O00482	ABCG8	Q9H221	Activation	15121760
NR5A2	O00482	CCNE1	P24864	Unknown	19041685
NR5A2	O00482	CETP	P11597	Activation	11331284
NR5A2	O00482	CYP11A1	P05108	Unknown	19067654
NR5A2	O00482	CYP11B1	P15538	Activation	11564608
NR5A2	O00482	CYP19A1	P11511	Unknown	11927588
NR5A2	O00482	HSD3B2	P26439	Activation	19022561
NR5A2	O00482	HSD3B2	P26439	Unknown	23874725
NR5A2	O00482	NR5A2	O00482	Activation	18191017
NR5A2	O00482	SLC10A2	Q12908	Unknown	12456679
NR5A2	O00482	STAR	P49675	Activation	19022561
NRF1	Q16656	CAPNS1	P04632	Activation	18234454
NRF1	Q16656	COX6A1	P12074	Unknown	10773445
NRF1	Q16656	CXCR4	P61073	Activation	10381170;20068066
NRF1	Q16656	FMR1	Q06787	Activation	11058604;16500891
NRF1	Q16656	FMR1	Q06787	Unknown	15175277;9302255;9328468
NRF1	Q16656	FXR2	P51116	Activation	16886907
NRF1	Q16656	GALNT3	Q14435	Unknown	10626815
NRF1	Q16656	IDE	P14735	Activation	22870279
NRF1	Q16656	NQO1	P15559	Unknown	11035254
NRF1	Q16656	PRDX3	P30048	Activation	21051700
NRF1	Q16656	PRDX5	P30044	Activation	21051700
NRF1	Q16656	SDHB	P21912	Unknown	9492280
NRF1	Q16656	SLC46A1	Q96NT5	Activation	20724482
NRF1	Q16656	SNRPN	P63162	Unknown	16116039
NRF1	Q16656	SPAST	Q9UBP0	Activation	22574173
NRF1	Q16656	TOMM34	Q15785	Unknown	18364745
NRIP1	P48552	SLC7A1	P30825	Activation	17056252
NRL	P54845	NR2E3	Q9Y5X4	Activation	18294621
NRL	P54845	PDE6B	P35913	Unknown	12566383
NRL	P54845	RBP3	P10745	Repression	15277472
NRL	P54845	RHO	P08100	Repression	15277472
NRL	P54845	RHO	P08100	Unknown	11477108;12566383
NUPR1	O60356	BCL2L1	Q07817	Activation	18690848
NUPR1	O60356	CDKN1A	P38936	Activation	18690848
NUPR1	O60356	CDKN1A	P38936	Unknown	22858377
NUPR1	O60356	EP300	Q09472	Unknown	22858377
NUPR1	O60356	MSL1	Q68DK7	Repression	19650074
NUPR1	O60356	TP53	P04637	Unknown	22858377
OLIG2	Q13516	LGR5	O75473	Unknown	23793848
ONECUT1	Q9UBC0	MITF	O75030	Unknown	11478782
ONECUT1	Q9UBC0	PROC	P04070	Activation	9553065
ONECUT2	O95948	MITF	O75030	Activation	11478782
ONECUT2	O95948	SYTL4	Q96C24	Repression	16831872
OTX1	P32242	BEST1	O76090	Activation	18849347
OTX2	P32243	AURKA	O14965	Activation	21047732
OTX2	P32243	BEST1	O76090	Activation	18849347
OTX2	P32243	BEST1	O76090	Unknown	20530484
OTX2	P32243	CCNG2	Q16589	Activation	21047732
OTX2	P32243	CDC25C	P30307	Activation	21047732
OTX2	P32243	DCT	P40126	Unknown	12559959
OTX2	P32243	HESX1	Q9UBX0	Unknown	18628516
OTX2	P32243	IGF1	P05019	Activation	21047732
OTX2	P32243	IL6	P05231	Activation	21047732
OTX2	P32243	PAX6	P26367	Activation	22085933
OTX2	P32243	POU1F1	P28069	Unknown	18628516
OTX2	P32243	RBP3	P10745	Activation	10354480;10372988
OTX2	P32243	RBP3	P10745	Unknown	18628516
OTX2	P32243	TYR	P14679	Activation	22259223
PA2G4	Q9UQ80	AGR2	O95994	Activation	20048076
PA2G4	Q9UQ80	AR	P10275	Unknown	20159994
PA2G4	Q9UQ80	E2F1	Q01094	Repression	16254079
PA2G4	Q9UQ80	E2F1	Q01094	Unknown	17786317
PA2G4	Q9UQ80	KLK3	P07288	Repression	16254079
PARP1	P09874	BCL2	P10415	Repression	20564216
PARP1	P09874	BRCA2	P51587	Repression	18990703
PARP1	P09874	CDH1	P12830	Activation	21577210
PARP1	P09874	CDH1	P12830	Unknown	18773488
PARP1	P09874	CDKN1A	P38936	Unknown	20711239
PARP1	P09874	CXCL1	P09341	Unknown	11112786
PARP1	P09874	DNAAF4	Q8WXU2	Unknown	18445785
PARP1	P09874	E2F1	Q01094	Activation	14627987
PARP1	P09874	FBN1	P35555	Unknown	23860323
PARP1	P09874	FN1	P02751	Unknown	22223884
PARP1	P09874	FOXO1	Q12778	Repression	19281796
PARP1	P09874	HFE	Q30201	Unknown	24184271
PARP1	P09874	HTR1A	P08908	Repression	21990073
PARP1	P09874	IFNAR1	P17181	Unknown	19501422
PARP1	P09874	IFNG	P01579	Unknown	17177976
PARP1	P09874	IL10	P22301	Unknown	20181890
PARP1	P09874	JUN	P05412	Unknown	16026317
PARP1	P09874	NFKB1	P19838	Unknown	16026317
PARP1	P09874	RELA	Q04206	Unknown	16026317
PARP1	P09874	SERPINE1	P05121	Activation	22159350
PARP1	P09874	SERPINF1	P36955	Repression	18312852
PARP1	P09874	SH3BP2	P78314	Unknown	22820184
PARP1	P09874	SMARCB1	Q12824	Unknown	17616514
PARP1	P09874	SNAI1	O95863	Repression	21577210
PARP1	P09874	THBD	P07204	Activation	21489980
PARP1	P09874	THBD	P07204	Repression	21489980
PARP1	P09874	VIM	P08670	Activation	17720873
PAWR	Q96IZ0	BCL2	P10415	Repression	11912153;9989812
PAWR	Q96IZ0	NOV	P48745	Activation	11502835
PAX1	P15863	PDGFRA	P16234	Unknown	9826722
PAX2	Q02962	ADAM10	O14672	Unknown	21876729;21880579
PAX2	Q02962	ERBB2	P04626	Unknown	10991938
PAX2	Q02962	L1CAM	P32004	Unknown	21880579
PAX2	Q02962	NCAM1	P13591	Unknown	16406048;19485921
PAX2	Q02962	TP53	P04637	Repression	8521821
PAX2	Q02962	WT1	P19544	Unknown	9178767
PAX3	P23760	BCL2L1	Q07817	Activation	10871843
PAX3	P23760	CXCR4	P61073	Activation	20068066
PAX3	P23760	DPYSL2	Q16555	Unknown	17229153
PAX3	P23760	MET	P08581	Unknown	8633043
PAX3	P23760	MITF	O75030	Activation	20925909;21965087
PAX3	P23760	MITF	O75030	Repression	19074888
PAX3	P23760	MITF	O75030	Unknown	19026785;9500554
PAX3	P23760	SHH	Q15465	Unknown	20569257
PAX4		GCG	P01275	Repression	17426099
PAX4		INS	P01308	Repression	17426099
PAX4		INS	P01308	Unknown	10601637
PAX4		ISL1	P61371	Unknown	15161765
PAX5	Q02548	BAX	Q07812	Activation	22105368
PAX5	Q02548	BCL2	P10415	Repression	22105368
PAX5	Q02548	BLK	P51451	Repression	18697940
PAX5	Q02548	CCND1	P24385	Repression	22105368
PAX5	Q02548	CD19	P15391	Activation	15163413
PAX5	Q02548	CD19	P15391	Unknown	10666449;12907641;20208555
PAX5	Q02548	CD79A	P11912	Activation	9545244
PAX5	Q02548	CDKN1A	P38936	Activation	22105368
PAX5	Q02548	FCER2	P06734	Unknown	12731041
PAX5	Q02548	FHL2	Q14192	Activation	21540083
PAX5	Q02548	LEF1	Q9UJU2	Activation	9545244
PAX5	Q02548	MET	P08581	Activation	24628993
PAX5	Q02548	MET	P08581	Unknown	19139719
PAX5	Q02548	MMP1	P03956	Repression	22105368
PAX5	Q02548	MYCN	P04198	Activation	9545244
PAX5	Q02548	PRDM1	O75626	Repression	17682124;22593617
